Program Type,Days Since Last Completion,Average Days Since Last Completion,Big Age Group,short distance,shared interest,matched personality,Days Last,Close3-6,IfCovid,Little Age Group
Site,<30,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,30-60,30-60,25-35,no,no,no,<3,close,No,11-13
Site,30-60,30-60,25-35,no,no,no,3-6,close,No,11-13
Site,30-60,30-60,25-35,no,no,no,3-6,close,No,11-13
Site,<30,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,30-60,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,60-90,30-60,25-35,no,no,no,3-6,close,No,11-13
Site,30-60,30-60,25-35,no,no,no,6-12,close,No,11-13
Site,30-60,30-60,25-35,no,no,no,6-12,close,No,11-13
Site,<30,30-60,25-35,no,no,no,6-12,close,No,11-13
Site,<30,30-60,25-35,no,no,no,6-12,close,No,11-13
Site,<30,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,30-60,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,60-90,30-60,25-35,no,no,no,3-6,close,No,11-13
Site,90+,30-60,25-35,no,no,no,6-12,close,No,11-13
Site,<30,30-60,25-35,no,no,no,<3,Open,No,<11
Site,30-60,30-60,25-35,no,no,no,<3,Open,No,<11
Site,90+,30-60,25-35,no,no,no,3-6,close,No,<11
Site,<30,30-60,25-35,no,no,no,6-12,close,No,<11
Site,30-60,30-60,25-35,no,no,no,6-12,close,No,<11
Site,<30,30-60,25-35,no,no,no,6-12,close,No,<11
Site,<30,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,30-60,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,30-60,30-60,25-35,no,no,no,3-6,close,No,11-13
Site,60-90,30-60,25-35,no,no,no,6-12,close,No,11-13
Site,<30,30-60,25-35,no,no,no,6-12,close,No,11-13
Site,<30,<30,25-35,no,no,no,<3,Open,No,11-13
Site,30-60,<30,25-35,no,no,no,<3,Open,No,11-13
Site,30-60,<30,25-35,no,no,no,<3,close,No,11-13
Site,30-60,<30,25-35,no,no,no,3-6,close,No,11-13
Site,30-60,<30,25-35,no,no,no,3-6,close,No,11-13
Site,<30,<30,25-35,no,no,no,3-6,close,No,11-13
Site,<30,<30,25-35,no,no,no,6-12,close,No,11-13
Site,<30,<30,25-35,no,no,no,6-12,close,No,11-13
Site,<30,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,30-60,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,60-90,30-60,25-35,no,no,no,3-6,close,No,11-13
Site,30-60,30-60,25-35,no,no,no,3-6,close,No,11-13
Site,30-60,30-60,25-35,no,no,no,6-12,close,No,11-13
Site,<30,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,30-60,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,60-90,30-60,25-35,no,no,no,3-6,close,No,11-13
Site,30-60,30-60,25-35,no,no,no,6-12,close,No,11-13
Site,30-60,30-60,25-35,no,no,no,6-12,close,No,11-13
Site,<30,<30,<25,no,no,no,<3,Open,No,11-13
Site,30-60,<30,<25,no,no,no,<3,Open,No,11-13
Site,30-60,<30,<25,no,no,no,<3,close,No,11-13
Site,<30,<30,<25,no,no,no,3-6,close,No,11-13
Site,30-60,<30,<25,no,no,no,3-6,close,No,11-13
Site,30-60,<30,<25,no,no,no,3-6,close,No,11-13
Site,30-60,<30,<25,no,no,no,6-12,close,No,11-13
Site,<30,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,60-90,30-60,25-35,no,no,no,3-6,close,No,11-13
Site,30-60,30-60,25-35,no,no,no,3-6,close,No,11-13
Site,30-60,30-60,25-35,no,no,no,6-12,close,No,11-13
Site,<30,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,30-60,30-60,25-35,no,no,no,<3,Open,No,11-13
Site,60-90,30-60,25-35,no,no,no,3-6,Open,No,11-13
Site,30-60,30-60,25-35,no,no,no,6-12,Open,No,11-13
Site,30-60,30-60,25-35,no,no,no,6-12,Open,No,11-13
Site,30-60,30-60,25-35,no,no,no,6-12,Open,No,11-13
Site,<30,30-60,25-35,no,no,no,6-12,Open,No,11-13
Site,<30,30-60,25-35,no,no,no,6-12,Open,No,11-13
Site,<30,30-60,25-35,no,no,no,6-12,Open,No,11-13
Site,<30,30-60,25-35,no,no,no,12-18,Open,No,11-13
Site,60-90,30-60,25-35,no,no,no,12-18,Open,No,11-13
Site,60-90,30-60,25-35,no,no,no,12-18,Open,No,11-13
